id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
474567,37,Goal,0.9669999694824218,0.47200000762939454,0.6322864890098572,Marco Faraoni,h,3978,OpenPlay,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Darko Lazovic,Cross
474573,58,MissedShots,0.8130000305175781,0.4909999847412109,0.053971368819475174,Adrien Tameze,h,5996,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Gianluca Caprari,Pass
474576,73,BlockedShot,0.865,0.6569999694824219,0.031352411955595016,Gianluca Caprari,h,1170,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Adrien Tameze,Cross
474577,74,MissedShots,0.9059999847412109,0.5179999923706055,0.038990069180727005,Kevin Lasagna,h,1903,OpenPlay,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Darko Lazovic,Aerial
474578,77,BlockedShot,0.8690000152587891,0.385,0.05982280895113945,Gianluca Caprari,h,1170,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,,BallRecovery
474580,81,MissedShots,0.9069999694824219,0.4779999923706055,0.026947077363729477,Koray Günter,h,7092,FromCorner,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Gianluca Caprari,Aerial
474555,5,MissedShots,0.750999984741211,0.705999984741211,0.017222324386239052,Rafael Leão,a,7193,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Theo Hernández,Pass
474556,7,MissedShots,0.6919999694824219,0.5420000076293945,0.00858301855623722,Theo Hernández,a,2547,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Rafael Leão,TakeOn
474558,13,SavedShot,0.8959999847412109,0.515,0.040025755763053894,Rade Krunic,a,1311,OpenPlay,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Alexis Saelemaekers,Aerial
474559,13,BlockedShot,0.915,0.47200000762939454,0.09275335818529129,Olivier Giroud,a,502,FromCorner,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Rade Krunic,Cross
